#K,N,L(phi),L(u),L^2(phi),L^2(u),abs(L)(phi),abs(L)(u) 
5,16,2.6068292966075096e-08,nan,7.071067809765229,49.67294133177358,7.424243765693332,23.906231028425218
5,17,2.1835162235591827e-08,2.379198846107738e-08,7.071067809765255,49.672941331756725,7.424243765693626,23.906231028414712
5,18,1.4206038995141658e-08,1.8794645243053186e-08,7.071067809765255,49.672941331756725,7.424243765693626,23.906231028414712
5,19,2.0077788418324567e-08,nan,7.071067809765255,49.672941331756725,7.424243765693626,23.906231028414712
5,20,nan,2.738168609035782e-08,7.0710678097653314,49.672941331756725,7.424243765694487,23.906231028414712
6,2,1.6225263125620385e-08,nan,8.483143222778999,58.565429015293965,8.87665159453415,28.372664698118285
6,3,nan,nan,8.485270320746043,59.57881297122501,8.931500680644382,28.62715245896202
6,4,2.7775108463077786e-08,2.620582927601797e-08,8.485281349574485,59.60706409975617,8.911723762507613,28.686219311735627
6,5,3.388646001152775e-08,nan,8.485281384545099,59.607524680497185,8.91162568628549,28.686105655871444
6,6,nan,nan,8.485281384286992,59.60752954152979,8.911514678143474,28.686591558070315
6,7,nan,nan,8.485281383928985,59.60752959999026,8.911516315707594,28.68658999968984
6,8,4.7230522387907885e-08,4.57879489936441e-08,8.485281384484404,59.60752957689884,8.911516207000009,28.68659221075234
6,9,nan,4.629026997465487e-08,8.485281384661008,59.607529589950126,8.911516201037742,28.686592167064685
6,10,nan,nan,8.485281386270948,59.60752957114125,8.911516203387187,28.686592170793272
6,11,2.951270279598887e-06,nan,8.485281391857498,59.60752961045286,8.911516210372113,28.686592179059968
6,12,2.1464107798577965e-08,2.574860702097797e-08,8.485281385683725,59.60752957469102,8.911516202993711,28.686592170483518
6,13,nan,5.1225484793422756e-08,8.485281385683729,59.60752957468602,8.911516202993948,28.68659217048352
6,14,nan,3.074681181063244e-08,8.485281385683729,59.60752957468602,8.911516202993946,28.686592170483518
6,15,nan,5.377189221760332e-08,8.485281385683729,59.60752957468602,8.911516202993946,28.686592170483518
6,16,nan,2.0197412352468472e-05,8.485281385683729,59.6075295746852,8.911516202993853,28.686592170483515
6,17,nan,6.1865875497147914e-06,8.485281385683729,59.60752957468604,8.911516202993948,28.686592170483518
6,18,2.522367234601475e-08,4.2055214565280054e-08,8.485281385683729,59.60752957468602,8.911516202993946,28.686592170483518
6,19,1.709703929685652e-08,3.52920139506335e-08,8.485281385683729,59.60752957468602,8.911516202993946,28.686592170483518
6,20,1.3089337428876522e-08,nan,8.485281385683729,59.607529574688535,8.911516202993946,28.686592170483518
7,2,2.536179007181222e-08,5.351129231913771e-08,9.898733702410995,68.8549335598181,10.403652955115302,33.21506765559267
7,3,nan,5.01407224047744e-08,9.899491944287513,69.52831359343718,10.386512908190468,33.482679822228384
7,4,1.3343329534137082e-08,nan,9.89949493148045,69.54195483123071,10.395913479534562,33.47164387829407
7,5,nan,5.674926073671008e-08,9.89949493989446,69.54211659583319,10.395375764113702,33.47291708058252
7,6,1.8207089906461273e-08,5.0214702284482654e-08,9.899494939824248,69.54211784525647,10.39544900162332,33.47269101788259
7,7,2.318299603065301e-08,6.174436190944626e-05,9.899494938910795,69.54211784817744,10.395447687852535,33.472690317958
7,8,nan,5.0357100110077865e-08,9.899494939083915,69.54211785122025,10.395447897727898,33.47268995665668
7,9,2.5803338311029692e-08,nan,9.899494939130488,69.54211785437307,10.395447895230804,33.47268993888944
7,10,nan,5.262851209339674e-08,9.899494937613177,69.5421178502016,10.395447895007095,33.472689939361636
7,11,nan,8.491869049193255e-05,9.899494947210469,69.54211790306172,10.395447901990616,33.472689952179614
7,12,nan,3.868800976222769e-08,9.899494937578831,69.54211784844907,10.395447895070685,33.472689938958034
7,13,2.053468589367142e-08,3.7260024351552474e-08,9.899494937578831,69.54211784844907,10.395447895070683,33.47268993895804
7,14,2.699605352137843e-08,1.5790578228060276e-08,9.899494937578831,69.54211784844907,10.395447895070683,33.47268993895804
7,15,1.7216703185237932e-08,3.5626470177051024e-08,9.899494937578831,69.54211784844907,10.395447895070683,33.47268993895804
7,16,1.9899154129686602e-08,nan,9.899494937569596,69.542117848449,10.395447895065505,33.472689938958034
7,17,1.4355451490919372e-08,1.804169268883919e-08,9.899494937578844,69.54211784844907,10.395447895071007,33.47268993895804
7,18,2.36628692917427e-08,1.87708833737016e-06,9.899494937578831,69.54211784844907,10.395447895070701,33.47268993895804
7,19,nan,4.5404672774621725e-08,9.899494937578831,69.54211784844907,10.395447895070683,33.47268993895804
7,20,2.126087754199211e-08,nan,9.899494937578831,69.54211784844998,10.395447895070683,33.47268993895804
8,2,nan,7.238018482617547e-08,11.313402675312092,79.00113049289523,11.86296454895546,38.053192965869165
8,3,1.8173670805912772e-08,4.526181592032206e-08,11.31370755577176,79.46944572023715,11.880324591914693,38.25904476142123
8,4,nan,nan,11.313708497905692,79.47664085098963,11.882051921257334,38.25697792620571
8,5,2.177246728547965e-08,5.296384757688697e-08,11.313708498652812,79.47670571923256,11.88216373797173,38.256945329484985
8,6,nan,nan,11.313708499147827,79.47670613216668,11.882172736872105,38.2569443100697
8,7,nan,nan,11.313708500235355,79.47670610631417,11.882173538394706,38.25694577672872
8,8,nan,4.064087277361155e-08,11.313708498629554,79.4767061366423,11.882173518145333,38.25694570251206
8,9,1.9403676031602007e-08,4.500861174955018e-08,11.313708503904936,79.47670615151102,11.882173521852609,38.25694570768772
8,10,1.3014961052873746e-08,5.2513790289578835e-08,11.31370850272916,79.47670616887537,11.882173521131115,38.25694571146867
8,11,nan,1.0031371922776604e-07,11.313708515558616,79.47670623847843,11.882173531438312,38.25694573348476
8,12,nan,7.282898448261675e-08,11.313708502730966,79.47670616887243,11.882173521139034,38.25694571146164
8,13,nan,5.98234166977564e-08,11.313708502730966,79.47670616887306,11.882173521139034,38.25694571146235
8,14,nan,8.175628416688617e-08,11.313708502730966,79.47670616887243,11.882173521139034,38.25694571146164
8,15,2.155992346932082e-09,8.66978313907975e-08,11.313708502730966,79.47670616887243,11.882173521139034,38.25694571146164
8,16,nan,7.018050829244646e-08,11.313708502730739,79.47670616887224,11.882173521135625,38.256945711459835
8,17,nan,4.843056573244173e-08,11.313708502757338,79.47670616887261,11.882173521157926,38.256945711463324
8,18,9.558710763999279e-09,7.002305544915421e-08,11.313708502730035,79.47670616887306,11.882173521133259,38.25694571146235
8,19,nan,7.589505757044434e-08,11.313708502730966,79.47670616887243,11.882173521139034,38.25694571146164
8,20,nan,7.595072576873333e-08,11.313708502730966,79.47670616887243,11.882173521139034,38.25694571146164
9,2,nan,nan,12.727786309482118,89.06930737459444,13.363804996587053,42.91454013110437
9,3,1.0972377757793377e-08,nan,12.727921714377114,89.4071948269383,13.36315674271615,43.04190438691825
9,4,1.2216082192744617e-08,nan,12.727922050404509,89.41126537651279,13.366349993847539,43.03699789004548
9,5,1.9594683286031227e-08,nan,12.727922050524814,89.41129423727885,13.366288641463383,43.03736553444333
9,6,nan,nan,12.72792205174129,89.41129438859566,13.366299546438285,43.03731413843554
9,7,nan,nan,12.727922050124334,89.41129437678848,13.366299281708539,43.037314184713445
9,8,1.8632233013840756e-08,nan,12.72792205103064,89.41129438579904,13.36629930576136,43.03731414672193
9,9,1.8123847462631034e-08,1.642626445662019e-05,12.72792205207591,89.41129438348055,13.366299306283679,43.03731414519055
9,10,1.623636024281758e-08,3.1254028579089307e-08,12.72792205190854,89.41129438193411,13.36629930628966,43.03731414502178
9,11,nan,0.00011029323053939275,12.727922067763055,89.41129447107939,13.366299316839816,43.03731416678418
9,12,1.3646819700380629e-08,5.966946744355824e-08,12.727922051909143,89.41129438218137,13.366299306292698,43.03731414505646
9,13,2.278071867659082e-08,nan,12.727922051909143,89.41129438218137,13.366299306292698,43.03731414505646
9,14,1.6407829483387875e-08,nan,12.727922051909145,89.41129438218137,13.366299306292731,43.03731414505646
9,15,nan,nan,12.727922051909141,89.41129438219797,13.366299306292715,43.03731414506416
9,16,2.3666792775183124e-06,1.6380871633086463e-05,12.727922051905367,89.41129438217943,13.366299306287146,43.037314145055014
9,17,nan,nan,12.727922051908466,89.41129438221348,13.366299306291541,43.03731414506896
9,18,2.0192264438820613e-08,nan,12.727922051908461,89.41129438221328,13.366299306291365,43.03731414506906
9,19,4.3022610304807375e-06,nan,12.727922051908802,89.41129438218137,13.366299306292039,43.03731414505646
9,20,2.2785974127686638e-08,nan,12.727922051909143,89.41129438218215,13.366299306292698,43.03731414505768
10,2,nan,nan,14.142070236324347,99.0921583136014,14.821300189014297,47.77705449523017
10,3,nan,4.706234946751615e-08,14.142135484932163,99.34343145860065,14.855936616256603,47.80188121238466
10,4,3.198807633952701e-08,3.761236609048072e-08,14.14213562169127,99.34586864288939,14.852739040011611,47.81767647923891
10,5,nan,nan,14.142135619322739,99.34588259398345,14.85272223985064,47.81760464359282
10,6,2.1881105600239164e-08,2.177296431380752e-08,14.142135618538912,99.34588266165781,14.852726101785288,47.81765703844224
10,7,5.81128540185235e-09,nan,14.142135619040946,99.34588263734605,14.852726103571872,47.81765719103741
10,8,nan,5.325368456975622e-08,14.142135619610178,99.34588265718635,14.852726099520847,47.817657276113664
10,9,nan,nan,14.142135620807514,99.34588266245358,14.852726100496639,47.81765727804288
10,10,4.295590008887606e-08,2.3124824603786827e-08,14.142135620873825,99.34588266060695,14.852726100457435,47.81765727769987
10,11,nan,nan,14.142135639978987,99.34588276595122,14.85272611382133,47.81765730384277
10,12,nan,nan,14.142135620873825,99.34588266060712,14.852726100457426,47.81765727770122
10,13,nan,nan,14.142135620873825,99.34588266060712,14.852726100457426,47.81765727770122
10,14,nan,nan,14.142135620873825,99.34588266060713,14.852726100457426,47.81765727770122
10,15,5.311663688983408e-08,nan,14.142135620873825,99.34588266060713,14.852726100457426,47.81765727770122
10,16,3.115356494836171e-08,8.061326741467981e-06,14.142135620867009,99.34588266060692,14.852726100457316,47.81765727769989
10,17,nan,8.947222804928967e-06,14.142135620879147,99.34588266060739,14.852726100463276,47.81765727770131
10,18,6.187129569753089e-09,nan,14.142135620873866,99.34588266060715,14.852726100458712,47.81765727770122
10,19,nan,nan,14.142135620873825,99.34588266060713,14.852726100457426,47.81765727770122
10,20,1.041919223334888e-08,nan,14.142135620879099,99.34588266060712,14.852726100461743,47.81765727770122
11,2,6.003068296374377e-09,7.719627815055954e-08,15.55631547435386,109.08727945998916,16.334829386858484,52.53271698110419
11,3,nan,4.771966075294774e-08,15.556349110146526,109.27893471165099,16.33531518986661,52.60379439751087
11,4,2.171884943420248e-08,nan,15.556349165948966,109.2804636762515,16.3370299211939,52.60183481090759
11,5,nan,nan,15.556349167033813,109.28047088540919,16.33703831683032,52.6019035121542
11,6,nan,9.551862595939748e-08,15.556349167867175,109.28047091909876,16.337041776201264,52.601886920582075
11,7,nan,nan,15.55634916660142,109.28047091516737,16.33704177590062,52.60188683082258
11,8,2.035067118350774e-08,nan,15.556349166980123,109.28047090795481,16.337041781679737,52.60188681853135
