#K,N,L(phi),L(u),L^2(phi),L^2(u),abs(L)(phi),abs(L)(u) 
4,16,nan,nan,5.656854246637413,39.7383531072765,5.940980678070594,19.1283116978914
4,17,9.504108897844948e-09,nan,5.656854246637413,39.73835310727782,5.940980678070594,19.12831169789533
4,18,7.910515986673874e-09,nan,5.656854246637413,39.73835310727782,5.940980678070594,19.12831169789533
4,19,7.902164630476445e-09,1.8945351577647398e-08,5.656854246637413,39.73835310727782,5.940980678070594,19.12831169789533
4,20,7.913159002460186e-09,nan,5.656854246637413,39.73835310727782,5.940980678070594,19.12831169789533
5,2,nan,nan,7.064166175952193,47.98970875271077,7.438649310040437,23.250650549917275
5,3,1.659025916195148e-08,nan,7.07101874496918,49.60581177064332,7.3948163172166455,23.9229685370073
5,4,1.886665853933616e-08,2.983047145526444e-08,7.071067570536855,49.67135344625265,7.426561999885961,23.901530710645932
5,5,3.3915846643507443e-09,nan,7.071067808884964,49.67291697186621,7.423726545728401,23.907386957480714
5,6,1.312462011595213e-08,3.7514690962060884e-08,7.07106780992633,49.672941064629065,7.424245792913029,23.90625662174848
5,7,nan,nan,7.071067810987286,49.672941320543394,7.424241176415953,23.90623499552622
5,8,1.215229284030899e-08,nan,7.071067810772306,49.67294133358893,7.424243813073048,23.906231405555392
5,9,nan,nan,7.071067810332864,49.67294132855489,7.424243752940739,23.90623100500176
5,10,1.8706592041928964e-08,nan,7.0710678102614555,49.67294132621504,7.424243766091717,23.9062310278634
5,11,nan,5.7197316193849405e-05,7.0710678096693576,49.67294134971482,7.424243765671401,23.906231032631435
5,12,1.8986702209260708e-08,4.374532220500556e-08,7.071067809762379,49.67294133175051,7.424243765675091,23.90623102841165
5,13,1.6643187603972584e-08,2.499694724372697e-08,7.071067809765255,49.672941331756725,7.424243765693627,23.90623102841472
5,14,2.058691076416855e-08,nan,7.071067809765255,49.672941331756725,7.424243765693626,23.906231028414712
5,15,2.496360308576452e-08,nan,7.071067809765255,49.672941331756725,7.424243765693626,23.906231028414712
5,16,nan,nan,7.071067809765255,49.67294133177358,7.424243765693626,23.906231028425218
5,17,nan,1.5950996337960445e-08,7.071067809765255,49.672941331756725,7.424243765693626,23.906231028414716
