K,N,h,l2phi,relL2phi,l2u,relL2u,l2divu_f
13,15,0.15384615384615385,4.598998155323698e-06,4.3728801023679256e-08,2.8289308642210157e-05,1.6126052024276866e-08,2.233721760738134e-09
13,16,0.15384615384615385,4.5986314192987875e-06,4.372531397582232e-08,2.8289295174947442e-05,1.612604434739151e-08,2.359803752244721e-09
13,17,0.15384615384615385,4.598882687683862e-06,4.372770311903208e-08,2.828784760931275e-05,1.612521917633382e-08,2.8350224107636343e-09
13,18,0.15384615384615385,4.598820064248966e-06,4.372710767462625e-08,2.828857568733569e-05,1.612563421030387e-08,3.262744067430781e-09
13,19,0.15384615384615385,4.598861365705808e-06,4.372750038258725e-08,2.8289130508937007e-05,1.612595048109437e-08,3.842512332106439e-09
13,20,0.15384615384615385,4.598762437376128e-06,4.372655973919101e-08,2.82890639724137e-05,1.612591255258046e-08,4.671857355075901e-09
12,2,0.16666666666666666,35.69152843521135,0.3638693849498799,228.22824305939602,0.14229723759007665,3.0829342911378875e-11
12,3,0.16666666666666666,7.322525891989874,0.0746519723142293,23.987007539910188,0.014955576335454935,6.211247928292386e-11
12,4,0.16666666666666666,1.3357619785232118,0.013617878271785408,4.157162057080491,0.0025919345870917643,9.679204295488596e-11
12,5,0.16666666666666666,0.21971573603269826,0.0022399665477804485,0.46646794925701146,0.00029083648769230656,1.594895967871856e-10
12,6,0.16666666666666666,0.033240804051493864,0.00033888464450079314,0.0804752188828732,5.017521577515463e-05,2.441446045217187e-10
12,7,0.16666666666666666,0.004347585745150683,4.4322936575172655e-05,0.007300061553590935,4.551490119665746e-06,3.5977665015757846e-10
12,8,0.16666666666666666,0.0005540962811282419,5.648922359353009e-06,0.001194550406646767,7.447860998680183e-07,4.5236145432324373e-10
12,9,0.16666666666666666,6.375547810317058e-05,6.499768326452406e-07,0.00010387450448132782,6.4764355390863e-08,5.033533856501036e-10
12,10,0.16666666666666666,8.256296939384443e-06,8.417161777621147e-08,2.9811240314438623e-05,1.8586907076064882e-08,7.565358279671117e-10
12,11,0.16666666666666666,6.121286598514405e-06,6.240553115416586e-08,5.3749105251178036e-05,3.351184365990342e-08,8.525854485113924e-10
12,12,0.16666666666666666,4.113980632781391e-06,4.194137007226259e-08,2.6811341968366725e-05,1.6716510835990526e-08,1.053128068590287e-09
12,13,0.16666666666666666,4.112766057617878e-06,4.192898767405498e-08,2.68023124872626e-05,1.671088107605913e-08,1.2297115104032367e-09
12,14,0.16666666666666666,4.112710946615765e-06,4.192842582626303e-08,2.6807521808117375e-05,1.67141290174945e-08,1.5598722477262941e-09
12,15,0.16666666666666666,4.112803686124628e-06,4.1929371290621934e-08,2.680862303259339e-05,1.671481561613279e-08,1.9156341969261307e-09
12,16,0.16666666666666666,4.112918083272308e-06,4.193053755112103e-08,2.680755396762317e-05,1.67141490685135e-08,2.1155311558111096e-09
12,17,0.16666666666666666,4.112871237157641e-06,4.1930059962525686e-08,2.680701465347216e-05,1.6713812813399525e-08,2.489856931012304e-09
12,18,0.16666666666666666,4.112881796452458e-06,4.193016761283597e-08,2.6807084216397852e-05,1.6713856184947375e-08,2.602796741032683e-09
12,19,0.16666666666666666,4.112722086814174e-06,4.1928539398791886e-08,2.6807497010058122e-05,1.671411355623834e-08,3.00082443026605e-09
12,20,0.16666666666666666,4.112846106012535e-06,4.1929803754548225e-08,2.6807515841888413e-05,1.671412529763105e-08,3.6092990672499017e-09
11,2,0.18181818181818182,38.26585695786625,0.42984056804076026,226.41018230277,0.15247817599877575,2.2651375142373726e-11
11,3,0.18181818181818182,8.622401702372649,0.0968554826749173,30.035626957004276,0.02022778996423095,5.423499159851536e-11
11,4,0.18181818181818182,1.7099867438099974,0.019208289889098173,4.862430918744853,0.0032746521815825414,9.475686134969604e-11
11,5,0.18181818181818182,0.3080249950118954,0.003460046353396716,0.7928074737411029,0.0005339240324120427,1.339947094760181e-10
11,6,0.18181818181818182,0.04964287375522118,0.0005576386562468843,0.10632637063877397,7.160654565389523e-05,1.7582149419576645e-10
11,7,0.18181818181818182,0.0072706482639105265,8.167122934748288e-05,0.016150150505271518,1.0876478549257278e-05,2.7278052799399876e-10
11,8,0.18181818181818182,0.0009979886298280797,1.12104114123423e-05,0.001846977564224227,1.2438653034030366e-06,4.23783001513373e-10
11,9,0.18181818181818182,0.0001237591885928113,1.3901876020592302e-06,0.0002584658398878199,1.7406637556337604e-07,4.947778942123349e-10
11,10,0.18181818181818182,1.607825896689906e-05,1.8060716567900195e-07,3.4705894660496275e-05,2.3373027928405936e-08,5.660411801878001e-10
11,11,0.18181818181818182,5.869137434470029e-06,6.592805099124485e-08,4.557148058364915e-05,3.069056420645545e-08,8.01857077658074e-10
11,12,0.18181818181818182,3.891241230334713e-06,4.3710332756231755e-08,2.3841759682489408e-05,1.6056468803711836e-08,9.583612983644081e-10
11,13,0.18181818181818182,3.882035994786107e-06,4.36069302979641e-08,2.384028742129649e-05,1.6055477294853857e-08,1.1649026845865497e-09
11,14,0.18181818181818182,3.8826653863497515e-06,4.3614000256636004e-08,2.383627747850946e-05,1.6052776759233915e-08,1.2914678361895129e-09
11,15,0.18181818181818182,3.882774970248367e-06,4.3615231213132834e-08,2.3836242882427444e-05,1.6052753460160398e-08,1.5151875017671294e-09
11,16,0.18181818181818182,3.882762726825823e-06,4.361509368270442e-08,2.383819813392405e-05,1.605407024361417e-08,1.9475284002017255e-09
