,K,N,l2phi,relL2phi,l1phi,relL1phi,l2u,relL2u,l1u,relL1u
51,3,15,4.242640690713914,0.09123958473356553,19.824740773240332,0.0058703823137707615,29.803764795670883,0.10200895677412085,145.45301573678228,0.005778577181442211
52,3,16,4.242640690713914,0.09123958473356553,19.82474077324023,0.00587038231377073,29.803764795670883,0.10200895677412085,145.45301573678225,0.005778577181442237
53,3,17,4.242640690713914,0.09123958473356553,19.824740773240208,0.005870382313770724,29.803764795670883,0.10200895677412083,145.45301573678225,0.005778577181442242
54,3,18,4.242640690713914,0.09123958473356553,19.824740773240208,0.005870382313770724,29.803764795670883,0.10200895677412088,145.45301573678225,0.005778577181442242
55,3,19,4.242640690713914,0.09123958473356553,19.824740773240208,0.005870382313770724,29.803764795670883,0.10200895677412088,145.45301573678228,0.005778577181442242
56,3,20,4.242640690713914,0.09123958473356553,19.824740773240208,0.005870382313770724,29.803764795670883,0.10200895677412086,145.45301573678225,0.005778577181442242
57,4,2,4.807401684983448,0.07753873686100166,31.695170249245013,0.005717104166940037,31.598955799888113,0.08934215698413793,210.9263853759526,0.004922129999872338
58,4,3,5.7395798634408095,0.09257386877285105,35.75201500638009,0.006448868782282284,40.09338669125875,0.1069767123413419,259.8332853933059,0.006391341163256136
59,4,4,5.653129062897715,0.09117950102204035,35.29074521538851,0.006365665965467494,39.705310179607096,0.10720444677887707,258.7169263447531,0.0064140473196623755
60,4,5,5.656958023049136,0.0912412584438426,35.297861582578996,0.006366949599920259,39.73894899013007,0.10751614482068983,258.72346054500673,0.0064400959231159715
61,4,6,5.656852283284426,0.09123955296376647,35.29595242700341,0.0063666052306926854,39.73833523741096,0.10751283235053369,258.72511199572745,0.006441569477564917
62,4,7,5.656854275153463,0.09123958509068643,35.29525488404219,0.006366479409448034,39.73835326943351,0.1075113982528236,258.72494714924983,0.006442481455324465
63,4,8,5.656854244112019,0.09123958459001796,35.295261901310624,0.0063664806752072745,39.73835308528522,0.10751141083900666,258.72495552948203,0.006442482478869246
64,4,9,5.656854246200029,0.09123958462369557,35.29525133531507,0.006366478769336546,39.73835309471329,0.10751141971705061,258.7249321267364,0.006442485946623213
