K,N,h,l2phi,relL2phi,l1phi,relL1phi,l2u,relL2u,l1u,relL1u
15,5,0.13333333333333333,8.687952427696199e-05,3.736753730601067e-07,0.002093270626582546,2.391435047424523e-08,188.4955591915227,0.12903225804817972,4544.240116356335,0.005884310538928743
15,6,0.13333333333333333,3.060919748562889e-06,1.3165246224242812e-08,6.170793119472723e-05,7.049757804324323e-10,188.49555918376913,0.12903225094854423,4544.239574447935,0.005884308365916442
15,7,0.13333333333333333,3.7644138337892494e-07,1.6191027234559034e-09,8.912335291162378e-06,1.0181803871427746e-10,188.49555918778353,0.12903225797457588,4544.239575586621,0.005884308534908201
15,8,0.13333333333333333,3.5468798586384624e-07,1.5255397234346504e-09,8.366208182271107e-06,9.557886690359084e-11,188.4955591882631,0.12903225804594842,4544.239575430018,0.0058843085369194624
15,9,0.13333333333333333,3.5474607510621955e-07,1.5257895696382904e-09,8.365211625668011e-06,9.556748184731994e-11,188.49555918744682,0.12903225804538962,4544.239575411979,0.0058843085367999825
15,10,0.13333333333333333,3.54706177105803e-07,1.5256179653355035e-09,8.36387353340459e-06,9.555219495275983e-11,188.49555918738767,0.12903225804534915,4544.239575411446,0.005884308536784295
15,11,0.13333333333333333,4.5629675752256683e-07,1.962566698107207e-09,9.388964065721052e-06,1.0726323410189671e-10,188.49555933564707,0.129032257771738,4544.239579127648,0.005884308532471736
15,12,0.13333333333333333,3.5470617666883704e-07,1.5256179634560799e-09,8.363873465519636e-06,9.55521941772153e-11,188.49555918738767,0.12903225804534915,4544.239575411446,0.005884308536784295
15,13,0.13333333333333333,3.547076495114324e-07,1.5256242982629386e-09,8.363977952634204e-06,9.555338787928426e-11,188.49555918738767,0.12903225804534912,4544.239575411446,0.005884308536784295
15,14,0.13333333333333333,3.5470617666883704e-07,1.5256179634560799e-09,8.363873466172423e-06,9.555219418467302e-11,188.4955591874016,0.12903225804535867,4544.239575412078,0.005884308536783589
15,15,0.13333333333333333,3.5470469455173296e-07,1.5256115887588611e-09,8.363822561011769e-06,9.555161262401029e-11,188.4955591874016,0.12903225804535864,4544.239575412078,0.005884308536783589
15,16,0.13333333333333333,3.5470153187215966e-07,1.5255979858359715e-09,8.363648035397882e-06,9.554961877446011e-11,188.49555918734828,0.12903225804532215,4544.239575410279,0.005884308536787371
15,17,0.13333333333333333,3.5470553727738904e-07,1.525615213385337e-09,8.363891588633656e-06,9.555240122282845e-11,188.49555918741407,0.12903225804536722,4544.239575412636,0.005884308536781417
